epoch,train_loss,val_loss,val_video_to_text_top1,val_video_to_text_top3,val_video_to_text_top5,val_text_to_video_top1,val_text_to_video_top3,val_text_to_video_top5,use_quantum,test_video_to_text_top1,test_video_to_text_top3,test_video_to_text_top5,test_text_to_video_top1,test_text_to_video_top3,test_text_to_video_top5,eval_on_all
1,2.004274527231852,1.833045482635498,0.1666666716337204,0.3333333432674408,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
2,1.9217828512191772,1.8349134922027588,0.1666666716337204,0.3333333432674408,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
3,1.8162422974904378,1.8498876094818115,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
4,1.7270935376485188,1.855763554573059,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.6666666865348816,False,,,,,,,
5,1.652436097462972,1.8733285665512085,0.1666666716337204,0.3333333432674408,0.8333333134651184,0.3333333432674408,0.5,0.6666666865348816,False,,,,,,,
6,1.4881297747294109,1.8663066625595093,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.6666666865348816,False,,,,,,,
7,1.334642102320989,1.8983681201934814,0.0,0.5,1.0,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
8,1.2561699748039246,1.9683747291564941,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
9,1.0767306685447693,1.9919803142547607,0.0,0.3333333432674408,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.6666666865348816,False,,,,,,,
10,1.037686824798584,2.0046839714050293,0.0,0.3333333432674408,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
11,0.9382171432177225,2.018338203430176,0.0,0.3333333432674408,0.8333333134651184,0.1666666716337204,0.5,1.0,False,,,,,,,
12,0.9092741906642914,1.9583624601364136,0.1666666716337204,0.5,0.8333333134651184,0.0,0.5,0.8333333134651184,False,,,,,,,
13,0.8064041038354238,1.9734547138214111,0.1666666716337204,0.5,0.8333333134651184,0.0,0.3333333432674408,0.8333333134651184,False,,,,,,,
14,0.8298035860061646,1.9774796962738037,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,False,,,,,,,
15,0.7879881064097086,1.986809253692627,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.8333333134651184,False,,,,,,,
16,0.6564276764790217,1.9986190795898438,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
17,0.7945602933565775,1.9876821041107178,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
18,0.7464947203795115,1.9819209575653076,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
19,0.6635996649662653,1.9670617580413818,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,1.0,False,,,,,,,
20,0.7536554932594299,1.945523738861084,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
21,0.6423578461011251,1.9639010429382324,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
22,0.5650822867949804,1.976072072982788,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
23,0.6545171787341436,1.9689016342163086,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
24,0.5623639027277628,1.9884153604507446,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
25,0.6149671127398809,2.015761613845825,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
26,0.6178246289491653,1.9883449077606201,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
27,0.5870355665683746,1.9925838708877563,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
28,0.6131393735607465,1.9925119876861572,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
29,0.5580474237600962,1.979575514793396,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
30,0.48619624972343445,1.9702084064483643,0.1666666716337204,0.5,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
31,0.5534865806500117,1.9864904880523682,0.1666666716337204,0.5,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
32,0.5464343279600143,2.017099380493164,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
33,0.681523417433103,1.9971261024475098,0.1666666716337204,0.5,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
34,0.5402929186820984,1.9816575050354004,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
35,0.6463738183180491,2.002877712249756,0.1666666716337204,0.5,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
36,0.6759462381402651,2.003185749053955,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
37,0.5886625150839487,1.9977407455444336,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
38,0.5373055785894394,2.0053086280822754,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
39,0.4875067472457886,2.022244930267334,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
40,0.6114176362752914,2.0331766605377197,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
41,0.5481809924046198,2.023261547088623,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
42,0.6219067623217901,2.02048921585083,0.1666666716337204,0.5,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
43,0.5764965415000916,2.0233805179595947,0.1666666716337204,0.5,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
44,0.6146208296219507,2.0138227939605713,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
45,0.7000719755887985,1.9990812540054321,0.1666666716337204,0.5,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
46,0.6048423598210017,2.0194756984710693,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
47,0.6071932216485342,1.9865678548812866,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,False,,,,,,,
48,0.6851477324962616,2.0044586658477783,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
49,0.5514879375696182,2.007120132446289,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.8333333134651184,False,,,,,,,
50,0.6443737844626108,2.007568359375,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,,,,,,,
best_test,,1.833045482635498,0.1666666716337204,0.3333333432674408,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,False,0.0,0.0625,0.109375,0.03125,0.09375,0.203125,True
