epoch,train_contrastive_loss,train_structure_loss,train_total_loss,val_contrastive_loss,val_structure_loss,val_total_loss,val_video_to_text_top1,val_video_to_text_top3,val_video_to_text_top5,val_text_to_video_top1,val_text_to_video_top3,val_text_to_video_top5,identity_video_to_text_top1,identity_video_to_text_top3,identity_video_to_text_top5,identity_text_to_video_top1,identity_text_to_video_top3,identity_text_to_video_top5,random_top1,random_top3,random_top5,logit_scale,temperature,quantum_active,quantum_param_count,quantum_grad_norm,num_total,num_train,num_val,num_test,seed,batch_size,lr,best_epoch,projection_tail,use_quantum,structure_loss_weight,grad_accum_steps,video_pooling,num_frames,feature_backend,clip_model,video_encoder_model,train_text_projection,test_video_to_text_top1,test_video_to_text_top3,test_video_to_text_top5,test_text_to_video_top1,test_text_to_video_top3,test_text_to_video_top5,identity_v2t_top1,identity_v2t_top3,identity_v2t_top5,identity_t2v_top1,identity_t2v_top3,identity_t2v_top5,eval_on_all
1,2.011708656946818,0.022189229726791382,2.011708656946818,1.8042492866516113,0.018950223922729492,1.8042492866516113,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.271722793579102,0.07006862552360557,True,48,0.01908737744890875,64,45,6,13,2024,8,0.0002,1,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
2,2.017142097155253,0.02419474720954895,2.017142097155253,1.8048964738845825,0.018970012664794922,1.8048964738845825,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.255361557006836,0.07014904504533434,True,48,0.012868271577630121,64,45,6,13,2024,8,0.0002,1,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
3,2.0138346950213113,0.023469597101211548,2.0138346950213113,1.8033967018127441,0.01895594596862793,1.8033967018127441,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.6666666865348816,1.0,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.241029739379883,0.07021964129705865,True,48,0.01974175014297278,64,45,6,13,2024,8,0.0002,3,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
4,2.017301360766093,0.026849160591761272,2.017301360766093,1.8044815063476562,0.01896136999130249,1.8044815063476562,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.223968505859375,0.07030386769965521,True,48,0.019572583063737773,64,45,6,13,2024,8,0.0002,3,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
5,2.0152769486109414,0.022630105415980022,2.0152769486109414,1.8011114597320557,0.018963336944580078,1.8011114597320557,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.208699226379395,0.0703794192605213,True,48,0.008694558730501036,64,45,6,13,2024,8,0.0002,5,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
6,2.0163812041282654,0.023253132899602253,2.0163812041282654,1.807938814163208,0.018923282623291016,1.807938814163208,0.1666666716337204,0.5,0.8333333134651184,0.0,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.191767692565918,0.07046338565165709,True,48,0.011176919773473206,64,45,6,13,2024,8,0.0002,5,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
7,2.015367070833842,0.02304878830909729,2.015367070833842,1.8111330270767212,0.01893526315689087,1.8111330270767212,0.1666666716337204,0.5,0.8333333134651184,0.0,0.0,0.5,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.175812721252441,0.0705426926599274,True,48,0.0138195604932916,64,45,6,13,2024,8,0.0002,5,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
8,2.015136698881785,0.02461289366086324,2.015136698881785,1.8086329698562622,0.018945932388305664,1.8086329698562622,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.5,0.6666666865348816,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.161763191223145,0.07061267629582715,True,48,0.019026902341490005,64,45,6,13,2024,8,0.0002,5,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
9,2.013834555943807,0.021969318389892578,2.013834555943807,1.802509069442749,0.018956422805786133,1.802509069442749,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.8333333134651184,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.147568702697754,0.07068352315612457,True,48,0.00822054958030177,64,45,6,13,2024,8,0.0002,5,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
10,2.011657238006592,0.022998581329981487,2.011657238006592,1.8082444667816162,0.018947124481201172,1.8082444667816162,0.1666666716337204,0.5,0.8333333134651184,0.0,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.133618354797363,0.07075329012691012,True,48,0.019615587299122907,64,45,6,13,2024,8,0.0002,5,quantum,True,0.0,1,mean,8,video_encoder,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
