epoch,adapter,selection_metric,train_retrieval_loss,train_total_loss,val_retrieval_loss,val_total_loss,val_video_to_text_top1,val_video_to_text_top3,val_video_to_text_top5,val_text_to_video_top1,val_text_to_video_top3,val_text_to_video_top5,raw_val_video_to_text_top1,raw_val_video_to_text_top3,raw_val_video_to_text_top5,raw_val_text_to_video_top1,raw_val_text_to_video_top3,raw_val_text_to_video_top5,random_top1,random_top3,random_top5,logit_scale,temperature,quantum_active,quantum_param_count,quantum_grad_norm,quantum_residual_scale,num_total,num_train,num_val,num_test,num_gallery,seed,batch_size,lr,best_epoch,video_pooling,num_frames,feature_backend,text_pooling,frame_sampling,video_chunk_stride,match_pooling,match_temperature,video_chunks_median,video_chunks_max,text_chunks_median,text_chunks_max,clip_model,video_encoder_model,train_video_to_text_mean_rank,train_video_to_text_median_rank,train_positive_logit_mean,train_top_negative_logit_mean,train_margin_mean,train_margin_min,train_logit_std,train_video_embedding_std_mean,raw_train_video_to_text_mean_rank,raw_train_video_to_text_median_rank,raw_train_positive_logit_mean,raw_train_top_negative_logit_mean,raw_train_margin_mean,raw_train_margin_min,raw_train_logit_std,raw_train_video_embedding_std_mean,val_video_to_text_mean_rank,val_video_to_text_median_rank,val_positive_logit_mean,val_top_negative_logit_mean,val_margin_mean,val_margin_min,val_logit_std,val_video_embedding_std_mean,raw_val_video_to_text_mean_rank,raw_val_video_to_text_median_rank,raw_val_positive_logit_mean,raw_val_top_negative_logit_mean,raw_val_margin_mean,raw_val_margin_min,raw_val_logit_std,raw_val_video_embedding_std_mean,test_video_to_text_top1,test_video_to_text_top3,test_video_to_text_top5,test_text_to_video_top1,test_text_to_video_top3,test_text_to_video_top5,raw_test_video_to_text_top1,raw_test_video_to_text_top3,raw_test_video_to_text_top5,raw_test_text_to_video_top1,raw_test_text_to_video_top3,raw_test_text_to_video_top5,eval_scope,eval_on_all,test_video_to_text_mean_rank,test_video_to_text_median_rank,test_positive_logit_mean,test_top_negative_logit_mean,test_margin_mean,test_margin_min,test_logit_std,test_video_embedding_std_mean,raw_test_video_to_text_mean_rank,raw_test_video_to_text_median_rank,raw_test_positive_logit_mean,raw_test_top_negative_logit_mean,raw_test_margin_mean,raw_test_margin_min,raw_test_logit_std,raw_test_video_embedding_std_mean
1,quantum,val_retrieval_loss,3.8378825187683105,3.8378825187683105,1.8136903047561646,1.8136903047561646,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.00023515367953489116,0.10999000072479248,64,45,6,13,6,2024,1000,0.01,1,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,23.177778244018555,24.0,15.003809928894043,18.834585189819336,-3.830775260925293,-9.702295303344727,2.1896634101867676,0.028905078768730164,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.6666667461395264,3.0,16.243541717529297,18.78584861755371,-2.542306661605835,-7.56648063659668,2.6098244190216064,0.02666730433702469,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,quantum,val_retrieval_loss,3.8324453830718994,3.8324453830718994,1.8123735189437866,1.8123735189437866,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.002347074256908082,0.12039701640605927,64,45,6,13,6,2024,1000,0.01,2,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,22.644445419311523,24.0,14.570307731628418,18.15969467163086,-3.5893867015838623,-9.118464469909668,2.1027677059173584,0.028355823829770088,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.6666667461395264,3.0,15.799247741699219,18.302631378173828,-2.5033841133117676,-7.334288597106934,2.537155866622925,0.02616215869784355,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,quantum,val_retrieval_loss,3.8235561847686768,3.8235561847686768,1.8105188608169556,1.8105188608169556,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.005686461747760382,0.13143549859523773,64,45,6,13,6,2024,1000,0.01,3,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,21.91111183166504,21.0,14.131468772888184,17.482072830200195,-3.3506040573120117,-8.34567642211914,2.012638568878174,0.027741482481360435,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.6666667461395264,3.0,15.309171676635742,17.75421142578125,-2.445038318634033,-7.050662040710449,2.4470815658569336,0.025595923885703087,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,quantum,val_retrieval_loss,3.8106961250305176,3.8106961250305176,1.8092317581176758,1.8092317581176758,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.009974737124827573,0.14320461452007294,64,45,6,13,6,2024,1000,0.01,4,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,21.088890075683594,20.0,13.675812721252441,16.75910186767578,-3.0832881927490234,-7.370746612548828,1.937117099761963,0.027093421667814255,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.6666667461395264,3.0,14.767221450805664,17.158557891845703,-2.3913357257843018,-6.777434349060059,2.369892120361328,0.024994395673274994,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,quantum,val_retrieval_loss,3.7939884662628174,3.7939884662628174,1.80491304397583,1.80491304397583,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.01905977290220229,0.1556582897901535,64,45,6,13,6,2024,1000,0.01,5,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,20.133333206176758,18.0,13.203795433044434,15.954727172851562,-2.75093150138855,-6.704732894897461,1.8639336824417114,0.026414860039949417,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.6666667461395264,3.0,14.202566146850586,16.530973434448242,-2.3284082412719727,-6.435579299926758,2.297473430633545,0.02436911128461361,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,quantum,val_retrieval_loss,3.7747714519500732,3.7747714519500732,1.8098598718643188,1.8098598718643188,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.6666666865348816,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.025349502319963996,0.16863253712654114,64,45,6,13,6,2024,1000,0.01,5,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,19.155555725097656,19.0,12.613715171813965,15.0771484375,-2.4634339809417725,-5.551187515258789,1.8134719133377075,0.025764100253582,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.8333334922790527,4.0,13.448570251464844,15.780828475952148,-2.3322575092315674,-6.201637268066406,2.2520172595977783,0.023752547800540924,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,quantum,val_retrieval_loss,3.7560269832611084,3.7560269832611084,1.7995338439941406,1.7995338439941406,0.3333333432674408,0.3333333432674408,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333730697632,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.045740836023356164,0.1817568689584732,64,45,6,13,6,2024,1000,0.01,7,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,16.866666793823242,15.0,12.285499572753906,14.407026290893555,-2.1215264797210693,-5.057521820068359,1.8045399188995361,0.02518255077302456,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.8333334922790527,4.0,13.0194730758667,15.319869995117188,-2.30039644241333,-5.914795875549316,2.2452316284179688,0.02319626696407795,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,quantum,val_retrieval_loss,3.729642152786255,3.729642152786255,1.803902268409729,1.803902268409729,0.3333333432674408,0.5,0.8333333730697632,0.1666666716337204,0.5,0.8333333730697632,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.04699462785195161,0.19519813358783722,64,45,6,13,6,2024,1000,0.01,7,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,15.088889122009277,13.0,11.85180950164795,13.649439811706543,-1.7976298332214355,-4.8178300857543945,1.8972527980804443,0.02475980669260025,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.1666667461395264,2.0,12.346757888793945,14.725990295410156,-2.3792335987091064,-5.730112075805664,2.2686901092529297,0.02271309867501259,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,quantum,val_retrieval_loss,3.692729949951172,3.692729949951172,1.7973219156265259,1.7973219156265259,0.3333333432674408,0.5,0.8333333730697632,0.0,0.3333333432674408,0.8333333730697632,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.0470657738202967,0.20900310575962067,64,45,6,13,6,2024,1000,0.01,9,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,13.733333587646484,14.0,11.60582160949707,13.365351676940918,-1.7595294713974,-4.461386680603027,2.037853717803955,0.024501323699951172,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.3333334922790527,2.0,11.952356338500977,14.392093658447266,-2.4397382736206055,-5.531842231750488,2.3652331829071045,0.022376395761966705,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,quantum,val_retrieval_loss,3.6591594219207764,3.6591594219207764,1.7927840948104858,1.7927840948104858,0.1666666716337204,0.5,0.8333333730697632,0.0,0.3333333432674408,0.8333333730697632,0.3333333432674408,0.5,0.5,0.3333333432674408,0.6666666865348816,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.285715103149414,0.0699999959945681,True,120,0.05036745065262659,0.22297978401184082,64,45,6,13,6,2024,1000,0.01,10,chunks,8,video_encoder,chunks,all,8,logmeanexp,0.07,70.0,98,3.0,7,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,11.711111068725586,9.0,11.533225059509277,13.297908782958984,-1.764684796333313,-4.217312812805176,2.2889158725738525,0.024447575211524963,23.044445037841797,24.0,17.24506187438965,21.745384216308594,-4.500322341918945,-11.699150085449219,2.5389676094055176,0.03193741291761398,3.3333334922790527,2.0,11.757013320922852,14.25208568572998,-2.495072841644287,-5.3916215896606445,2.5045828819274902,0.02214934676885605,3.6666667461395264,2.0,18.377531051635742,21.24576187133789,-2.8682305812835693,-7.41518497467041,2.7242352962493896,0.02941214106976986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
