epoch,adapter,selection_metric,train_retrieval_loss,train_total_loss,val_retrieval_loss,val_total_loss,val_video_to_text_top1,val_video_to_text_top3,val_video_to_text_top5,val_text_to_video_top1,val_text_to_video_top3,val_text_to_video_top5,raw_val_video_to_text_top1,raw_val_video_to_text_top3,raw_val_video_to_text_top5,raw_val_text_to_video_top1,raw_val_text_to_video_top3,raw_val_text_to_video_top5,random_top1,random_top3,random_top5,logit_scale,temperature,quantum_active,quantum_param_count,quantum_grad_norm,quantum_residual_scale,num_total,num_train,num_val,num_test,num_gallery,seed,batch_size,lr,best_epoch,video_pooling,num_frames,feature_backend,text_pooling,clip_model,video_encoder_model,train_video_to_text_mean_rank,train_video_to_text_median_rank,train_positive_logit_mean,train_top_negative_logit_mean,train_margin_mean,train_margin_min,train_logit_std,train_video_embedding_std_mean,raw_train_video_to_text_mean_rank,raw_train_video_to_text_median_rank,raw_train_positive_logit_mean,raw_train_top_negative_logit_mean,raw_train_margin_mean,raw_train_margin_min,raw_train_logit_std,raw_train_video_embedding_std_mean,val_video_to_text_mean_rank,val_video_to_text_median_rank,val_positive_logit_mean,val_top_negative_logit_mean,val_margin_mean,val_margin_min,val_logit_std,val_video_embedding_std_mean,raw_val_video_to_text_mean_rank,raw_val_video_to_text_median_rank,raw_val_positive_logit_mean,raw_val_top_negative_logit_mean,raw_val_margin_mean,raw_val_margin_min,raw_val_logit_std,raw_val_video_embedding_std_mean,test_video_to_text_top1,test_video_to_text_top3,test_video_to_text_top5,test_text_to_video_top1,test_text_to_video_top3,test_text_to_video_top5,raw_test_video_to_text_top1,raw_test_video_to_text_top3,raw_test_video_to_text_top5,raw_test_text_to_video_top1,raw_test_text_to_video_top3,raw_test_text_to_video_top5,eval_scope,eval_on_all,test_video_to_text_mean_rank,test_video_to_text_median_rank,test_positive_logit_mean,test_top_negative_logit_mean,test_margin_mean,test_margin_min,test_logit_std,test_video_embedding_std_mean,raw_test_video_to_text_mean_rank,raw_test_video_to_text_median_rank,raw_test_positive_logit_mean,raw_test_top_negative_logit_mean,raw_test_margin_mean,raw_test_margin_min,raw_test_logit_std,raw_test_video_embedding_std_mean
1,quantum,val_retrieval_loss,3.8772616386413574,3.8772616386413574,1.833985686302185,1.833985686302185,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.00035380333086040496,0.10999000072479248,64,45,6,13,6,2024,1000,0.01,1,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,23.488889694213867,25.0,18.594160079956055,23.39046859741211,-4.796308517456055,-11.123146057128906,3.2786993980407715,0.024745400995016098,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.5,2.0,20.277860641479492,23.31121063232422,-3.0333499908447266,-9.512845993041992,3.4580085277557373,0.020188981667160988,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,quantum,val_retrieval_loss,3.8696703910827637,3.8696703910827637,1.833409309387207,1.833409309387207,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.0022890100796194145,0.12026188522577286,64,45,6,13,6,2024,1000,0.01,2,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,23.44444465637207,26.0,18.389129638671875,22.866350173950195,-4.477217674255371,-10.392566680908203,3.143563985824585,0.0242158155888319,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.5,2.0,20.026662826538086,23.038930892944336,-3.0122687816619873,-9.36728286743164,3.425234317779541,0.019768983125686646,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,quantum,val_retrieval_loss,3.857226848602295,3.857226848602295,1.831252098083496,1.831252098083496,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.007679210153585146,0.1310383826494217,64,45,6,13,6,2024,1000,0.01,3,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,23.33333396911621,27.0,18.257081985473633,22.451370239257812,-4.194290637969971,-9.60499382019043,3.012267589569092,0.023651130497455597,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.5,2.0,19.84697723388672,22.824193954467773,-2.977217435836792,-9.095550537109375,3.3867084980010986,0.019320379942655563,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,quantum,val_retrieval_loss,3.840876340866089,3.840876340866089,1.828128457069397,1.828128457069397,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.018015824532396436,0.14242185652256012,64,45,6,13,6,2024,1000,0.01,4,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,22.688888549804688,26.0,18.11484718322754,21.966249465942383,-3.8514058589935303,-8.508907318115234,2.8967764377593994,0.02302604727447033,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.6666667461395264,3.0,19.65556526184082,22.606775283813477,-2.9512083530426025,-8.757320404052734,3.337817430496216,0.018817726522684097,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,quantum,val_retrieval_loss,3.8199405670166016,3.8199405670166016,1.8221365213394165,1.8221365213394165,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.028916753973998555,0.1544044017791748,64,45,6,13,6,2024,1000,0.01,5,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,21.55555534362793,24.0,17.958152770996094,21.451324462890625,-3.4931726455688477,-7.745536804199219,2.777592420578003,0.0223960280418396,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.6666667461395264,3.0,19.451955795288086,22.3912410736084,-2.939283609390259,-8.322649002075195,3.3088696002960205,0.018323954194784164,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,quantum,val_retrieval_loss,3.7940409183502197,3.7940409183502197,1.8222883939743042,1.8222883939743042,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.03901448278813761,0.16691367328166962,64,45,6,13,6,2024,1000,0.01,5,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,20.44444465637207,23.0,17.712772369384766,20.821428298950195,-3.108654499053955,-7.332889556884766,2.7083663940429688,0.021790338680148125,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.6666667461395264,3.0,19.117685317993164,22.108238220214844,-2.9905545711517334,-7.943647384643555,3.2939722537994385,0.01782527193427086,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,quantum,val_retrieval_loss,3.764827251434326,3.764827251434326,1.81517493724823,1.81517493724823,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.05051413534480067,0.1797480434179306,64,45,6,13,6,2024,1000,0.01,7,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,18.46666717529297,19.0,17.504236221313477,20.205326080322266,-2.7010915279388428,-7.289705276489258,2.6944565773010254,0.021295202895998955,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.6666667461395264,3.0,18.855308532714844,21.8569278717041,-3.001620054244995,-7.447933197021484,3.34763503074646,0.017458032816648483,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,quantum,val_retrieval_loss,3.729886293411255,3.729886293411255,1.8167046308517456,1.8167046308517456,0.3333333432674408,0.5,0.6666666865348816,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.058594405647424276,0.19281116127967834,64,45,6,13,6,2024,1000,0.01,7,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,16.688888549804688,16.0,17.146461486816406,19.453611373901367,-2.3071513175964355,-6.818367004394531,2.716644763946533,0.02095845714211464,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.6666667461395264,3.0,18.319726943969727,21.398401260375977,-3.0786752700805664,-7.515974044799805,3.3943707942962646,0.017180679365992546,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,quantum,val_retrieval_loss,3.697648525238037,3.697648525238037,1.8123811483383179,1.8123811483383179,0.3333333432674408,0.3333333432674408,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.07326502443959507,0.20587962865829468,64,45,6,13,6,2024,1000,0.01,9,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,14.177778244018555,15.0,16.93473243713379,18.9887638092041,-2.0540316104888916,-6.622925758361816,2.886038303375244,0.020831571891903877,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.5,4.0,18.056884765625,21.182710647583008,-3.125826597213745,-7.762760162353516,3.541489839553833,0.017105823382735252,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,quantum,val_retrieval_loss,3.6627206802368164,3.6627206802368164,1.8220306634902954,1.8220306634902954,0.3333333432674408,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.16666666666666666,0.5,0.8333333333333334,14.285714149475098,0.07000000066757203,True,120,0.09314770245008087,0.21880191564559937,64,45,6,13,6,2024,1000,0.01,9,mean,16,video_encoder,chunk_mean,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,12.711111068725586,12.0,16.690113067626953,18.664783477783203,-1.974668264389038,-6.599086761474609,3.144925594329834,0.020975898951292038,23.244443893432617,28.0,21.118133544921875,26.61676788330078,-5.498631954193115,-14.001322746276855,3.789247989654541,0.027360310778021812,3.1666667461395264,2.0,17.531179428100586,20.81485939025879,-3.2836780548095703,-8.518592834472656,3.7125027179718018,0.017192943021655083,3.3333332538604736,2.0,22.981468200683594,26.25303077697754,-3.271563768386841,-9.44314956665039,3.7925305366516113,0.02221003547310829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
