epoch,train_contrastive_loss,train_structure_loss,train_total_loss,val_contrastive_loss,val_structure_loss,val_total_loss,val_video_to_text_top1,val_video_to_text_top3,val_video_to_text_top5,val_text_to_video_top1,val_text_to_video_top3,val_text_to_video_top5,identity_video_to_text_top1,identity_video_to_text_top3,identity_video_to_text_top5,identity_text_to_video_top1,identity_text_to_video_top3,identity_text_to_video_top5,random_top1,random_top3,random_top5,logit_scale,temperature,quantum_active,quantum_param_count,quantum_grad_norm,num_total,num_train,num_val,num_test,seed,batch_size,lr,best_epoch,projection_tail,use_quantum,structure_loss_weight,grad_accum_steps,video_pooling,num_frames,feature_backend,clip_model,video_encoder_model,train_text_projection,test_video_to_text_top1,test_video_to_text_top3,test_video_to_text_top5,test_text_to_video_top1,test_text_to_video_top3,test_text_to_video_top5,identity_v2t_top1,identity_v2t_top3,identity_v2t_top5,identity_t2v_top1,identity_t2v_top3,identity_t2v_top5,eval_on_all
1,2.7292930285135903,0.017229715983072918,2.7292930285135903,1.8066489696502686,0.018971383571624756,1.8066489696502686,0.1666666716337204,0.5,0.8333333134651184,0.0,0.3333333432674408,0.6666666865348816,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.276947021484375,0.07004298597558499,True,120,0.005844484409755173,64,45,6,13,2024,16,0.0002,1,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
2,2.7300869623819985,0.019653876622517902,2.7300869623819985,1.806465744972229,0.01897263526916504,1.806465744972229,0.1666666716337204,0.5,0.8333333134651184,0.0,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.268484115600586,0.07008452978593853,True,120,0.005187238611023958,64,45,6,13,2024,16,0.0002,2,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
3,2.7303466796875,0.017593026161193848,2.7303466796875,1.8060617446899414,0.018972337245941162,1.8060617446899414,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,1.0,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.259716033935547,0.07012762369321947,True,120,0.004222947837571643,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
4,2.730703671773275,0.01886667807896932,2.730703671773275,1.806978464126587,0.01897144317626953,1.806978464126587,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.6666666865348816,1.0,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.251501083374023,0.07016804715165144,True,120,0.00515914888278441,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
5,2.726374626159668,0.017612993717193604,2.726374626159668,1.806943655014038,0.018970787525177002,1.806943655014038,0.1666666716337204,0.5,0.8333333134651184,0.0,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.242842674255371,0.07021070321920697,True,120,0.004717027613066139,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
6,2.7293972174326577,0.01802066961924235,2.7293972174326577,1.806955099105835,0.018970727920532227,1.806955099105835,0.1666666716337204,0.5,0.8333333134651184,0.0,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.23584270477295,0.07024522683611298,True,120,0.005779502725331344,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
7,2.7263053258260093,0.018573562304178875,2.7263053258260093,1.8061132431030273,0.01896810531616211,1.8061132431030273,0.1666666716337204,0.5,0.8333333134651184,0.3333333432674408,0.6666666865348816,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.227703094482422,0.07028541384081913,True,120,0.007799413037031372,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
8,2.7256614367167153,0.018063406149546306,2.7256614367167153,1.8068948984146118,0.018970251083374023,1.8068948984146118,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.220892906188965,0.0703190725502755,True,120,0.007571571335717889,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
9,2.725006182988485,0.017651100953420002,2.725006182988485,1.8067388534545898,0.01897042989730835,1.8067388534545898,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.21338176727295,0.07035623304670195,True,120,0.007449202036160605,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
10,2.722331921259562,0.018672784169514973,2.722331921259562,1.8072471618652344,0.018969476222991943,1.8072471618652344,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.8333333134651184,0.1666666716337204,0.5,0.6666666865348816,0.16666666666666666,0.5,0.8333333333333334,14.207201957702637,0.07038683640713897,True,120,0.008633989812385152,64,45,6,13,2024,16,0.0002,3,quantum,True,0.0,1,mean,8,clip_frame,openai/clip-vit-base-patch32,microsoft/xclip-base-patch32,False,,,,,,,,,,,,,
